"Name","DisplayName","Status","StartType","Time"
"EventSystem","COM+ Event System","Running","Automatic","12-26-2024 18:05:41"
"fdPHost","Function Discovery Provider Host","Stopped","Manual","12-26-2024 18:05:41"
"FDResPub","Function Discovery Resource Publication","Stopped","Manual","12-26-2024 18:05:41"
"fhsvc","File History Service","Stopped","Manual","12-26-2024 18:05:41"
"FMAPOService","Fortemedia APO Control Service","Running","Automatic","12-26-2024 18:05:41"
"FontCache","Windows Font Cache Service","Running","Automatic","12-26-2024 18:05:41"
"FontCache3.0.0.0","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Manual","12-26-2024 18:05:41"
"FrameServer","Windows Camera Frame Server","Stopped","Manual","12-26-2024 18:05:41"
"FrameServerMonitor","Windows Camera Frame Server Monitor","Stopped","Manual","12-26-2024 18:05:41"
"GameInputSvc","GameInput Service","Stopped","Manual","12-26-2024 18:05:41"
"GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)","Stopped","Manual","12-26-2024 18:05:41"
"GoogleUpdaterInternalService132.0.6833.0","Google Updater Internal Service (GoogleUpdaterInternalService132.0.6833.0)","Stopped","Automatic","12-26-2024 18:05:41"
"GoogleUpdaterService132.0.6833.0","Google Updater Service (GoogleUpdaterService132.0.6833.0)","Stopped","Automatic","12-26-2024 18:05:41"
"gpsvc","Group Policy Client","Running","Automatic","12-26-2024 18:05:41"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped","Manual","12-26-2024 18:05:41"
"hidserv","Human Interface Device Service","Running","Manual","12-26-2024 18:05:41"
"HvHost","HV Host Service","Stopped","Manual","12-26-2024 18:05:41"
"icssvc","Windows Mobile Hotspot Service","Stopped","Manual","12-26-2024 18:05:41"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Stopped","Manual","12-26-2024 18:05:41"
"InstallService","Microsoft Store Install Service","Running","Manual","12-26-2024 18:05:41"
"InventorySvc","Inventory and Compatibility Appraisal service","Running","Manual","12-26-2024 18:05:41"
"iphlpsvc","IP Helper","Running","Automatic","12-26-2024 18:05:41"
"IpxlatCfgSvc","IP Translation Configuration Service","Stopped","Manual","12-26-2024 18:05:41"
"KeyIso","CNG Key Isolation","Running","Manual","12-26-2024 18:05:41"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Stopped","Manual","12-26-2024 18:05:41"
"LanmanServer","Server","Running","Automatic","12-26-2024 18:05:41"
"LanmanWorkstation","Workstation","Running","Automatic","12-26-2024 18:05:41"
"LenovoFnAndFunctionKeys","Lenovo Fn and function keys service","Running","Automatic","12-26-2024 18:05:41"
"lfsvc","Geolocation Service","Running","Manual","12-26-2024 18:05:41"
"LicenseManager","Windows License Manager Service","Running","Manual","12-26-2024 18:05:41"
"lltdsvc","Link-Layer Topology Discovery Mapper","Stopped","Manual","12-26-2024 18:05:41"
"lmhosts","TCP/IP NetBIOS Helper","Running","Manual","12-26-2024 18:05:41"
"LSM","Local Session Manager","Running","Automatic","12-26-2024 18:05:41"
"LxpSvc","Language Experience Service","Stopped","Manual","12-26-2024 18:05:41"
"MapsBroker","Downloaded Maps Manager","Stopped","Automatic","12-26-2024 18:05:41"
"McAfee WebAdvisor","McAfee WebAdvisor","Running","Automatic","12-26-2024 18:05:41"
"McpManagementService","McpManagementService","Stopped","Manual","12-26-2024 18:05:41"
"MDCoreSvc","Microsoft Defender Core Service","Running","Automatic","12-26-2024 18:05:41"
"MessagingService_c5db7c7","MessagingService_c5db7c7","Stopped","Manual","12-26-2024 18:05:41"
"MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Stopped","Manual","12-26-2024 18:05:41"
"MixedRealityOpenXRSvc","Windows Mixed Reality OpenXR Service","Stopped","Manual","12-26-2024 18:05:41"
"mpssvc","Windows Defender Firewall","Running","Automatic","12-26-2024 18:05:41"
"MSDTC","Distributed Transaction Coordinator","Stopped","Manual","12-26-2024 18:05:41"
"MSiSCSI","Microsoft iSCSI Initiator Service","Stopped","Manual","12-26-2024 18:05:41"
"msiserver","Windows Installer","Stopped","Manual","12-26-2024 18:05:41"
"NahimicService","Nahimic service","Running","Automatic","12-26-2024 18:05:41"
"NaturalAuthentication","Natural Authentication","Stopped","Manual","12-26-2024 18:05:41"
"NcaSvc","Network Connectivity Assistant","Stopped","Manual","12-26-2024 18:05:41"
"NcbService","Network Connection Broker","Running","Manual","12-26-2024 18:05:41"
"NcdAutoSetup","Network Connected Devices Auto-Setup","Stopped","Manual","12-26-2024 18:05:41"
"Netlogon","Netlogon","Stopped","Manual","12-26-2024 18:05:41"
"Netman","Network Connections","Stopped","Manual","12-26-2024 18:05:41"
"netprofm","Network List Service","Running","Manual","12-26-2024 18:05:41"
